AnimalID;Breed;ShotsDate;Sex;ReceiptNumber;DateImpounded;PitNumber;Name;KennelNumber;DispositionDate;Color;Code;ApproxWeight;Age category;Source;Status;ACO
6214;Border Collie X;;F;NC;2002-02-17;20035;Goggle;200;;Black & White;;;;BROUGHT-IN;Redeemed;17
6218;Labrador X;;F;11830,JC;2002-03-05;20030;;200;;Tan;;;;HOLDING STRAY;Redeemed;6
6222;Rotty (with full tail);2000-06-07;M/N;;2000-05-28;40062;Harry Wong;400;;Black & Tan;;;;BROUGHT-IN;Transferred;0
6223;Keeshound X;2001-02-21;M/N;;2001-02-14;40089;Dexter;400;;Tri-Color;;;;COMPLAINT;Transferred;8
6224;Rotty;2001-12-12;M/N;11848 ar;2001-12-05;20021;Nicholas;200;;Black & Tan;;;;BROUGHT-IN;Sold;0
6225;Pitbull X;;M/N;11836,MC;2002-03-07;20039;Buddy;200;;Black;;;;POLICE-DAY;Redeemed;15
6226;Bull Terrier;;F/S;15118,JS;2002-03-07;20013;Casey;200;;Tri Color;;;;SPCA;Redeemed;5
6229;Maltese;;F;11839 lf;2002-03-08;20024;;200;;White;;;;POLICE-DAY;Redeemed;6
6230;Pit X;2000-09-05;F/S;15104,BC;2000-08-27;20097;Sass;200;;Black & White;;;;SPCA;Sold;3
6231;Poodle;;M/N;11837,MC;2002-03-09;20063;Tigars;200;;Grey;;;;HOLDING STRAY;Redeemed;15
6232;Rott X Pit;;F;11840-TU;2002-03-10;20039;;200;;Brown & some Brindle;;;;HOLDING STRAY;Redeemed;17
6235;Staffie  X;2002-02-27;M/N;11849 BP6;2002-02-14;20026;Pacer;200;;Brindle;;;;HOLDING STRAY;Sold;6
6242;Shepherd X;;M;15107 lf;2002-03-14;20020;Colby;200;;Tan;;;;HOLDING STRAY;Redeemed;15
6245;Rottweiler;;F;15003,MC;2002-03-14;20030;Sasha;200;;Black & Tan;;;;POLICE-NIGHT;Redeemed;15
6246;Boxer X;;F/S;12554,MB;2002-03-14;20003;Alabama;200;;Brindle & Brown;;;;HOLDING STRAY;Redeemed;10
6252;Finnish Spitz;;F/S;15108 nm;2002-03-21;20000;Princess;200;;White;;;;BROUGHT-IN;Sold;22
6253;Lab;;M/N;15111,MC;2002-03-22;20072;Mac;200;;Black;;;;HOLDING STRAY;Redeemed;17
6256;Cane Corso?;;F;15114 BP6;2002-03-25;20076;;200;;Black & Brindle;;;;COMPLAINT;Redeemed;22
6258;Rottweiller;;F;15057jc8;2002-03-25;20005;Rio;200;;Black & Tan;;;;POLICE-DAY;Redeemed;8
6259;Rottweiler X Mastiff;2001-08-30;M/N;11819 nm;2001-08-25;20049;Kujo;200;;Brown & Black;;;;OWNER-SURRENDERED;Sold;0
6261;Terrier X;;M/N;15116 lf;2002-03-26;20039;Max;200;;Black & Grey & White;;;;HOLDING STRAY;Redeemed;6
6262;Terr X Shep;;F;15060 BC3;2002-03-26;20072;Lady;200;;Black & Tan & White Paws;;;;HOLDING STRAY;Redeemed;5
6266;Husky;;M;15061 BP6;2002-03-27;20045;Shamus;200;;Brown & White;;;;HOLDING STRAY;Redeemed;10
6269;Rottweiler;;F;15121.MC;2002-03-28;20039;Sasha;200;;Black & Tan;;;;HOLDING STRAY;Redeemed;5
6273;Lab X Shepherd (pup);;M;11832,BP;2002-02-27;20065;Elliott;200;;Tan;;;;BROUGHT-IN;Sold;6
6280;West Highland Terrier;;F;11826,NP;2002-03-01;20023;Cindy;200;;White;;;;HOLDING STRAY;Redeemed;6
6283;Lab X  (no tail);;F;11838,MC;2002-03-02;20032;Baby;200;;Tan;;;;OTHER;Redeemed;15
6284;St Bernard X;;M;11829 BC3;2002-03-03;20000;Bee Bee;200;;Brown;;;;BROUGHT-IN;Redeemed;0
6291;Hound  X (pup);2002-04-25;F;15014,KS;2002-04-13;20026;Halima;200;;Black & Tan;;;;BROUGHT-IN;Sold;17
6292;Pitbull X;2001-05-23;M/N;15140 nm;2001-05-11;20046;Lee;200;;Black with White Chest & Paws;;;;COMPLAINT;Sold;16
6295;Husky/Heeler Puppy (?);;M;15089, ks;2002-04-13;20000;Charlie;200;;White with Grey Patches;;;;HOLDING STRAY;Sold;17
6296;Shepherd (Pup);;M;15080 jc;2002-04-15;20054;;200;;Black & Tan;;;;HOLDING STRAY;Redeemed;22
