,date,breed,color,sex,state,name
0,1999-01-03,rotty mix shep,"['black', 'tan']",m/n,lost,tex
1,1999-01-04,dog,['light colour'],m/n,found,unknown
2,1999-01-04,golden lab mix,"['black', 'tan']",m,lost,oscar
3,1999-01-04,shep mix,"['black', 'tan']",f,found,unknown
4,1999-01-04,shep mix collie,"['black', 'tan']",f,lost,angel
5,1999-01-04,shepherd,"['black', 'tan']",m/n,lost,robi
6,1999-01-05,border collie,"['black', 'white']",f/s,lost,murphy
7,1999-01-05,min toy poodle,['white'],m,found,unknown
8,1999-01-06,shepherd,"['black', 'tan']",m/n,lost,chance
9,1999-01-08,springer spaniel,"['black', 'white']",m/n,lost,murphy
10,1999-01-09,lab mix,['black'],m/n,found,unknown
11,1999-01-09,pitbull,['red'],f/s,found,unknown
12,1999-01-10,lab,['black'],m/n,lost,unknown
13,1999-01-12,husky mix,['white'],m,found,unknown
14,1999-01-12,pomeranian mix,['cream'],m/n,found,unknown
15,1999-01-12,rott mix chow,['golden'],f/s,lost,megorah
16,1999-01-13,malamute mix husky mix shep,"['black', 'white']",f,lost,tasha
17,1999-01-13,pitbull mix,"['black', 'white', 'brindle']",m/n,lost,taz
18,1999-01-13,pomeranian mix,['off white'],f/s,found,unknown
19,1999-01-14,rottweiler,"['black', 'tan']",m/n,lost,teddy
20,1999-01-14,staff terrier,"['black', 'white']",m/n,lost,woody
21,1999-01-18,retriever mix lab,['red'],f/s,matched,barley
22,1999-01-19,collie mix shep,"['black', 'red', 'tan']",m/n,found,unknown
23,1999-01-19,pitbull mix shep,['chocolate'],f,lost,drakko
24,1999-01-20,flat-coat retriever,['black'],m/n,matched,dingo
25,1999-01-20,lab,['black'],m,lost,panther
26,1999-01-20,lab,['black'],f,lost,shona
27,1999-01-21,coyote,['tan'],m,matched,wild-e-coyote
28,1999-01-21,lhasa apso,['white'],m/n,lost,happy
29,1999-01-21,shar-pei,['black'],m,lost,kobe
30,1999-01-22,border collie mix,"['black', 'brown']",f/s,found,unknown
31,1999-01-22,maltese,['white'],m/n,lost,happy
32,1999-01-22,shetland sheepdog,"['sable', 'white']",m/n,lost,jeremy
33,1999-01-25,shih tsu,"['black', 'white']",m,lost,toby
34,1999-01-26,airedale,"['black', 'tan curly fur']",f/s,lost,molly
35,1999-01-26,akita mix shep mix chow,['black'],m/n,matched,chester
36,1999-01-26,am staff,['fawn'],f/s,lost,hazelnut
37,1999-01-26,australian mix dingo,['gold'],m/n,lost,budd
38,1999-01-26,lab  mix,['black'],f/s,lost,sabrina
39,1999-01-26,pointer mix lab,['black'],m/n,lost,oscar
40,1999-01-27,husky mix lab,['multi brwn color'],f/s,lost,montanna
41,1999-01-27,shep mix husky,['tan'],f/s,lost,unknown
42,1999-01-28,german shepherd,"['grey', 'black', 'tan']",f,lost,jaffy
43,1999-01-28,lab mix chow,"['tan', 'cinnamon']",m,lost,tyree
44,1999-01-28,pointer mix spaniel,"['brown', 'white']",f/s,lost,kyha
45,1999-01-29,border collie mix,"['black', 'white']",f/s,lost,sophie
46,1999-01-29,chocolate lab,['brown'],f,lost,mocha
47,1999-01-29,chow mix lab,['amber'],m,lost,tyrre
48,1999-02-02,chow mix husky,"['black', 'tan']",m,lost,dog
49,1999-02-02,lab mix,['pale blonde'],m/n,matched,unknown
