AnimalID,breed,sex,receiptnumber,dateimpounded,name,dispositiondate,color,approxweight,agecategory,source,status
6214,border collie mix,f,nc,2002-02-17,goggle,unknown,"['black', 'white']",unknown,unknown,brought-in,redeemed
6218,labrador mix,f,"11830,jc",2002-03-05,unknown,unknown,['tan'],unknown,unknown,holding stray,redeemed
6222,rotty (with full tail),m/n,unknown,2000-05-28,harry wong,unknown,"['black', 'tan']",unknown,unknown,brought-in,transferred
6223,keeshound mix,m/n,unknown,2001-02-14,dexter,unknown,['tri-color'],unknown,unknown,complaint,transferred
6224,rotty,m/n,11848 ar,2001-12-05,nicholas,unknown,"['black', 'tan']",unknown,unknown,brought-in,sold
6225,pitbull mix,m/n,"11836,mc",2002-03-07,buddy,unknown,['black'],unknown,unknown,police-day,redeemed
6226,bull terrier,f/s,"15118,js",2002-03-07,casey,unknown,['tri color'],unknown,unknown,spca,redeemed
6229,maltese,f,11839 lf,2002-03-08,unknown,unknown,['white'],unknown,unknown,police-day,redeemed
6230,pit mix,f/s,"15104,bc",2000-08-27,sass,unknown,"['black', 'white']",unknown,unknown,spca,sold
6231,poodle,m/n,"11837,mc",2002-03-09,tigars,unknown,['grey'],unknown,unknown,holding stray,redeemed
6232,rott mix pit,f,11840-tu,2002-03-10,unknown,unknown,"['brown', 'some brindle']",unknown,unknown,holding stray,redeemed
6235,staffie  mix,m/n,11849 bp6,2002-02-14,pacer,unknown,['brindle'],unknown,unknown,holding stray,sold
6242,shepherd mix,m,15107 lf,2002-03-14,colby,unknown,['tan'],unknown,unknown,holding stray,redeemed
6245,rottweiler,f,"15003,mc",2002-03-14,sasha,unknown,"['black', 'tan']",unknown,unknown,police-night,redeemed
6246,boxer mix,f/s,"12554,mb",2002-03-14,alabama,unknown,"['brindle', 'brown']",unknown,unknown,holding stray,redeemed
6252,finnish spitz,f/s,15108 nm,2002-03-21,princess,unknown,['white'],unknown,unknown,brought-in,sold
6253,lab,m/n,"15111,mc",2002-03-22,mac,unknown,['black'],unknown,unknown,holding stray,redeemed
6256,cane corso?,f,15114 bp6,2002-03-25,unknown,unknown,"['black', 'brindle']",unknown,unknown,complaint,redeemed
6258,rottweiller,f,15057jc8,2002-03-25,rio,unknown,"['black', 'tan']",unknown,unknown,police-day,redeemed
6259,rottweiler mix mastiff,m/n,11819 nm,2001-08-25,kujo,unknown,"['brown', 'black']",unknown,unknown,owner-surrendered,sold
6261,terrier mix,m/n,15116 lf,2002-03-26,max,unknown,"['black', 'grey', 'white']",unknown,unknown,holding stray,redeemed
6262,terr mix shep,f,15060 bc3,2002-03-26,lady,unknown,"['black', 'tan', 'white paws']",unknown,unknown,holding stray,redeemed
6266,husky,m,15061 bp6,2002-03-27,shamus,unknown,"['brown', 'white']",unknown,unknown,holding stray,redeemed
6269,rottweiler,f,15121.mc,2002-03-28,sasha,unknown,"['black', 'tan']",unknown,unknown,holding stray,redeemed
6273,lab mix shepherd (pup),m,"11832,bp",2002-02-27,elliott,unknown,['tan'],unknown,unknown,brought-in,sold
6280,west highland terrier,f,"11826,np",2002-03-01,cindy,unknown,['white'],unknown,unknown,holding stray,redeemed
6283,lab mix  (no tail),f,"11838,mc",2002-03-02,baby,unknown,['tan'],unknown,unknown,other,redeemed
6284,st bernard mix,m,11829 bc3,2002-03-03,bee bee,unknown,['brown'],unknown,unknown,brought-in,redeemed
6291,hound  mix (pup),f,"15014,ks",2002-04-13,halima,unknown,"['black', 'tan']",unknown,unknown,brought-in,sold
6292,pitbull mix,m/n,15140 nm,2001-05-11,lee,unknown,"['black', 'white chest', 'paws']",unknown,unknown,complaint,sold
6295,husky/heeler puppy (?),m,"15089, ks",2002-04-13,charlie,unknown,"['white', 'grey patches']",unknown,unknown,holding stray,sold
6296,shepherd (pup),m,15080 jc,2002-04-15,unknown,unknown,"['black', 'tan']",unknown,unknown,holding stray,redeemed
6305,shih tzu,f,"15201,mc",2002-04-19,pepper,unknown,['white'],unknown,unknown,holding stray,redeemed
6312,apbt,m/n,"15088,nm",2001-12-17,tank,unknown,"['beige', 'white']",unknown,unknown,holding stray,sold
6313,am staff terrier mix,m/n,"15012,mc",2001-10-25,zeus/nello,unknown,"['black', 'white']",unknown,unknown,spca,sold
6314,am staff terrier,m/n,"15078,lf",2001-11-30,bryson (murphy),unknown,"['black', 'white']",unknown,unknown,owner-surrendered,sold
6315,dalmatian mix,m/n,"15011,mc",2001-11-30,winston,unknown,"['white', 'black']",unknown,unknown,brought-in,sold
6316,rott mix,m/n,15015 ar,2002-04-20,george,unknown,"['black', 'tan']",unknown,unknown,holding stray,redeemed
6324,pomeranian,m,"15134,js",2002-03-30,jay,unknown,['tan'],unknown,unknown,holding stray,sold
6331,pitbull,m/n,15129 ar,2002-04-03,ruby,unknown,['blonde'],unknown,unknown,police-day,redeemed
6340,dalmatian,f,15133 ar,2002-04-05,unknown,unknown,"['black', 'white']",unknown,unknown,holding stray,redeemed
6344,shiba inu mix,f/s,15142 bc3,2002-04-06,unknown,unknown,['tan'],unknown,unknown,holding stray,redeemed
6348,lab,m/n,15145-bl,2002-04-07,twos,unknown,['black'],unknown,unknown,spca,redeemed
6356,labrador,m/n,15083 bc3,2002-04-08,jack,unknown,['black'],unknown,unknown,holding stray,redeemed
6358,shep mix,f/s,15149wrs,2002-04-08,sonny,unknown,"['tan', 'white']",unknown,unknown,holding stray,redeemed
6361,mini schnauzer (pup),m,15069 lf,2002-04-10,jello,unknown,"['grey', 'black']",unknown,unknown,holding stray,redeemed
6363,lab mix,f/s,15064 nm,2002-04-10,brandy mae,unknown,['black'],unknown,unknown,police-day,redeemed
6364,retriever,m/n,15066 nm,2002-04-10,bailey,unknown,['gold'],unknown,unknown,complaint,redeemed
6365,lab mix,f,15067 nm,2002-04-10,nguzu,unknown,['black'],unknown,unknown,patrol,redeemed
6367,long haired shep.,f,15070-tu,2002-04-11,chili,unknown,"['black', 'tan']",unknown,unknown,police-day,redeemed
6370,lab mix border collie,m,nc,2002-04-23,chancy,unknown,"['black', 'white']",unknown,unknown,spca,redeemed
6373,american eskimo mix spitz,m/n,"15210,dt",2002-05-06,assprki,unknown,['white'],20lbs,unknown,holding stray,redeemed
6377,lab mix,f,"15217,km",2002-05-07,charlotte,unknown,['black'],50 lb,unknown,holding stray,redeemed
6378,lab mix rott (?),m/n,15206 lf,2002-03-07,monty,unknown,['red'],unknown,unknown,brought-in,sold
6381,pit mix,m/n,"12557,mb",2002-05-07,capone,unknown,['black'],unknown,unknown,holding stray,redeemed
6382,shepherd mix,f,15047 bc3,2002-05-07,unknown,unknown,"['brown', 'black']",70 lbs,unknown,holding stray,redeemed
6384,hound mix terrier,f/s,"15098,mc",2002-03-10,zena,unknown,"['black', 'brown']",unknown,unknown,holding stray,sold
6386,chow,m/n,15100 bc3,2002-02-12,bilbo(thunder),unknown,['brown'],unknown,unknown,complaint,sold
6389,shepherd mix,m/n,13021 nm,2001-02-28,sparky(charlie),unknown,"['black', 'tan']",unknown,unknown,brought-in,sold
6392,pekingese,f,15032 bc3,2002-04-25,tilly,unknown,['black'],5,unknown,police-day,sold
6397,collie mix,m,"15219,np",2002-05-12,omar,unknown,"['black', 'tan']",70 lbs.,unknown,police-emergency,redeemed
6398,shep mix rotty,f/s,"12223,15038",2001-05-31,mia,unknown,"['black', 'tan']",unknown,unknown,holding stray,adoptable
6399,pitbull,m/n,"15214,lf",2001-10-25,rascal,unknown,"['brown', 'white']",unknown,unknown,brought-in,sold
6400,rott mix lab,m/n,13009 lf,2001-07-23,ben,unknown,['black'],unknown,unknown,spca,sold
