,date,breed,color,name,sex,state
0,1999-01-03T00:00:00+00:00,Rotty X Shep,Black & Tan,Tex,M/N,Lost
1,1999-01-04T00:00:00+00:00,Dog,Light Colour,,M/N,Found
2,1999-01-04T00:00:00+00:00,Golden Lab X,Black & Tan,Oscar,M,Lost
3,1999-01-04T00:00:00+00:00,Shep X,Black & Tan,,F,Found
4,1999-01-04T00:00:00+00:00,Shep X Collie,Black & Tan,Angel,F,Lost
5,1999-01-04T00:00:00+00:00,Shepherd,Black & Tan,Robi,M/N,Lost
6,1999-01-05T00:00:00+00:00,Border Collie,Black & White,Murphy,F/S,Lost
7,1999-01-05T00:00:00+00:00,Min Toy Poodle,White,,M,Found
8,1999-01-06T00:00:00+00:00,Shepherd,Black & Tan,Chance,M/N,Lost
9,1999-01-08T00:00:00+00:00,Springer Spaniel,Black & White,Murphy,M/N,Lost
10,1999-01-09T00:00:00+00:00,Lab X,Black,,M/N,Found
11,1999-01-09T00:00:00+00:00,Pitbull,Red,,F/S,Found
12,1999-01-10T00:00:00+00:00,Lab,Black,,M/N,Lost
13,1999-01-12T00:00:00+00:00,Husky X,White,,M,Found
14,1999-01-12T00:00:00+00:00,Pomeranian X,Cream,,M/N,Found
15,1999-01-12T00:00:00+00:00,Rott X Chow,Golden,Megorah,F/S,Lost
16,1999-01-13T00:00:00+00:00,Malamute X Husky X Shep,Black & White,Tasha,F,Lost
17,1999-01-13T00:00:00+00:00,Pitbull X,Black & White & Brindle,Taz,M/N,Lost
18,1999-01-13T00:00:00+00:00,Pomeranian X,Off White,,F/S,Found
19,1999-01-14T00:00:00+00:00,Rottweiler,Black & Tan,Teddy,M/N,Lost
20,1999-01-14T00:00:00+00:00,Staff Terrier,Black & White,Woody,M/N,Lost
21,1999-01-18T00:00:00+00:00,Retriever X Lab,Red,Barley,F/S,Matched
22,1999-01-19T00:00:00+00:00,Collie X Shep,Black & Red & Tan,,M/N,Found
23,1999-01-19T00:00:00+00:00,Pitbull X Shep,Chocolate,Drakko,F,Lost
24,1999-01-20T00:00:00+00:00,Flat-Coat Retriever,Black,Dingo,M/N,Matched
25,1999-01-20T00:00:00+00:00,Lab,Black,Panther,M,Lost
26,1999-01-20T00:00:00+00:00,Lab,Black,Shona,F,Lost
27,1999-01-21T00:00:00+00:00,Coyote,Tan,Wild-E-Coyote,M,Matched
28,1999-01-21T00:00:00+00:00,Lhasa Apso,White,Happy,M/N,Lost
29,1999-01-21T00:00:00+00:00,Shar-Pei,Black,Kobe,M,Lost
30,1999-01-22T00:00:00+00:00,Border Collie X,Black & Brown,,F/S,Found
31,1999-01-22T00:00:00+00:00,Maltese,White,Happy,M/N,Lost
32,1999-01-22T00:00:00+00:00,Shetland Sheepdog,Sable & White,Jeremy,M/N,Lost
33,1999-01-25T00:00:00+00:00,Shih Tsu,Black & White,Toby,M,Lost
34,1999-01-26T00:00:00+00:00,Airedale,Black & Tan Curly Fur,Molly,F/S,Lost
35,1999-01-26T00:00:00+00:00,Akita X Shep X Chow,Black,Chester,M/N,Matched
36,1999-01-26T00:00:00+00:00,Am Staff,Fawn,Hazelnut,F/S,Lost
37,1999-01-26T00:00:00+00:00,Australian X Dingo,Gold,Budd,M/N,Lost
38,1999-01-26T00:00:00+00:00,Lab  X,Black,Sabrina,F/S,Lost
39,1999-01-26T00:00:00+00:00,Pointer X Lab,Black,Oscar,M/N,Lost
40,1999-01-27T00:00:00+00:00,Husky X Lab,Multi Brwn color,Montanna,F/S,Lost
41,1999-01-27T00:00:00+00:00,Shep X Husky,Tan,,F/S,Lost
42,1999-01-28T00:00:00+00:00,German Shepherd,Grey & Black & Tan,Jaffy,F,Lost
43,1999-01-28T00:00:00+00:00,Lab X Chow,Tan & Cinnamon,Tyree,M,Lost
44,1999-01-28T00:00:00+00:00,Pointer X Spaniel,Brown & White,Kyha,F/S,Lost
45,1999-01-29T00:00:00+00:00,Border Collie X,Black & White,Sophie,F/S,Lost
46,1999-01-29T00:00:00+00:00,Chocolate Lab,Brown,Mocha,F,Lost
