year,month,state,permit,permit_recheck,handgun,long_gun,other,multiple,admin,prepawn_handgun,prepawn_long_gun,prepawn_other,redemption_handgun,redemption_long_gun,redemption_other,returned_handgun,returned_long_gun,returned_other,rentals_handgun,rentals_long_gun,private_sale_handgun,private_sale_long_gun,private_sale_other,return_to_seller_handgun,return_to_seller_long_gun,return_to_seller_other,totals
2017,9,Alabama,16717,0,5734,6320,221,317,0,15,21,2,1378,1262,1,0,0,0,0,0,9,16,3,0,0,3,32019
2017,9,Alaska,209,2,2320,2930,219,160,0,5,2,0,200,154,2,28,30,0,0,0,17,24,1,0,0,0,6303
2017,9,Arizona,5069,382,11063,7946,920,631,0,13,6,0,1474,748,3,82,5,0,0,0,38,12,2,0,0,0,28394
2017,9,Arkansas,2935,632,4347,6063,165,366,51,12,13,0,1296,1824,4,0,0,0,0,0,13,23,0,0,2,1,17747
2017,9,California,57839,0,37165,24581,2984,0,0,0,0,0,535,397,5,0,0,0,0,0,0,0,0,0,0,0,123506
2017,9,Colorado,4356,0,15751,13448,1007,1062,0,0,0,0,0,0,0,202,46,1,0,0,0,0,0,0,0,0,35873
2017,9,Connecticut,4343,673,4834,1993,274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12117
2017,9,Delaware,275,0,1414,1538,66,68,0,0,1,0,26,16,3,0,0,0,0,0,55,34,3,1,2,0,3502
2017,9,Florida,10784,0,39199,17949,2319,1721,1,18,7,0,3657,1416,6,264,28,0,0,0,11,9,0,0,1,0,77390
2017,9,Georgia,12074,0,10933,7982,315,494,0,20,14,2,2038,1467,8,0,0,0,0,0,17,7,0,0,0,0,35371
2017,9,Hawaii,946,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,948
2017,9,Idaho,5162,0,3058,5241,187,205,0,0,6,0,386,633,2,27,5,1,0,0,7,14,1,3,0,0,14938
2017,9,Illinois,15712,71432,18290,10201,0,814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116449
2017,9,Indiana,18241,0,16093,11332,1123,597,79,5,17,1,289,570,9,22,0,0,0,0,75,57,6,4,4,0,48524
2017,9,Iowa,5847,1217,151,2640,27,1,1,0,1,0,4,51,1,25,1,0,0,0,1,7,0,0,0,0,9975
2017,9,Kansas,1567,3,4518,5025,306,297,0,3,0,1,663,421,6,10,7,0,0,0,16,12,0,0,1,0,12856
2017,9,Kentucky,378384,0,8112,7543,253,543,1,16,15,0,1915,1875,3,1,1,0,0,0,21,19,1,2,1,0,398706
2017,9,Louisiana,1827,0,10495,11573,635,776,0,6,4,1,1271,1154,1,0,0,0,0,0,28,43,3,2,2,0,27821
2017,9,Maine,783,0,3026,4220,179,186,1,0,0,0,126,153,0,10,11,0,0,0,11,8,0,0,1,0,8715
2017,9,Maryland,2424,0,3389,4897,168,34,0,0,5,0,80,146,1,57,26,0,0,0,0,26,1,0,1,0,11255
2017,9,Massachusetts,7160,0,4749,2808,449,158,0,0,0,0,13,6,0,0,0,0,0,0,55,33,20,4,4,1,15460
2017,9,Michigan,16571,19,8654,10676,379,163,0,1,4,1,4,313,0,84,13,0,0,0,21,40,1,0,0,0,36944
2017,9,Minnesota,25645,0,4862,12677,346,273,0,1,2,0,179,507,2,14,12,1,0,0,13,16,0,0,1,1,44552
2017,9,Mississippi,1362,0,6260,6035,206,405,0,33,23,1,1683,1456,7,0,0,0,0,0,11,9,0,0,0,0,17491
2017,9,Missouri,791,0,16993,14395,1050,991,0,12,5,1,1651,1355,5,157,17,0,0,0,75,66,3,1,3,0,37571
2017,9,Montana,1076,0,2395,4878,140,216,3,4,4,2,474,1035,1,14,1,2,0,0,10,21,4,2,1,0,10283
2017,9,Nebraska,3036,113,110,1989,11,4,0,0,3,0,6,57,0,5,1,0,0,0,0,10,0,0,0,0,5345
2017,9,Nevada,1952,0,3992,2509,251,237,0,0,0,0,354,165,0,0,0,0,0,0,0,0,0,0,0,0,9460
2017,9,New Hampshire,2795,0,4410,3248,132,3,2,0,1,0,0,27,0,63,3,1,0,0,0,4,0,0,0,0,10689
2017,9,New Jersey,0,0,3985,3040,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7165
2017,9,New Mexico,847,0,5309,4508,353,284,0,5,2,0,529,596,0,44,0,0,0,0,8,5,1,0,0,0,12491
2017,9,New York,2933,1164,8392,16213,998,185,0,0,1,1,21,20,4,12,43,1,3,5,348,328,19,7,4,1,30703
2017,9,North Carolina,19292,0,1235,11340,657,233,0,11,12,0,2244,2228,4,0,0,0,12,5,9,40,2,0,1,0,37325
2017,9,North Dakota,486,0,1359,2919,99,82,3,0,3,1,90,141,1,0,0,0,0,0,8,17,2,1,0,0,5212
2017,9,Ohio,8741,490,21085,14998,1202,1026,0,9,8,0,1440,817,7,18,1,0,0,0,58,36,4,1,1,0,49942
2017,9,Oklahoma,0,0,8869,9020,741,807,0,17,19,0,1969,1821,2,0,0,0,0,0,59,37,4,1,5,0,23371
2017,9,Oregon,3774,11,11557,11773,0,7,1,0,0,0,0,0,0,113,40,1,0,0,0,0,0,0,0,0,27277
2017,9,Pennsylvania,23144,0,39825,13222,48,0,179,0,0,0,0,0,0,492,92,1,0,0,0,0,0,0,0,0,77003
2017,9,Rhode Island,0,0,907,619,70,163,0,0,0,0,2,2,0,3,1,5,0,0,15,8,1,1,2,0,1799
2017,9,South Carolina,9380,349,7574,6037,379,295,0,22,8,2,1051,759,2,47,2,0,0,0,13,10,0,0,0,0,25930
2017,9,South Dakota,562,0,2020,4155,154,141,0,1,0,0,143,264,0,0,0,0,0,0,3,14,0,0,0,0,7457
2017,9,Tennessee,16887,0,19219,13746,1042,0,0,0,0,0,0,0,0,47,4,0,0,0,0,0,0,0,0,0,50945
2017,9,Texas,31390,0,39119,39416,2768,2473,0,59,44,4,7566,5099,42,48,4,0,0,0,121,87,13,2,5,0,128260
2017,9,Utah,12094,25,2840,3960,212,0,0,3,3,0,285,428,3,125,47,16,0,0,0,0,0,0,0,0,20041
2017,9,Vermont,0,0,1276,1591,90,80,0,0,0,0,2,34,2,0,0,0,0,0,3,6,0,0,0,0,3084
2017,9,Virginia,585,0,19676,15075,1100,0,0,0,0,0,0,0,0,9,1,0,0,0,0,0,0,0,0,0,36446
2017,9,Washington,11451,44,13292,11548,1623,587,3,12,11,0,1325,1284,7,416,85,9,0,0,701,590,42,5,13,1,43049
2017,9,West Virginia,1668,0,5204,6161,216,387,11,15,13,0,1380,1618,2,10,0,3,0,0,16,18,0,1,0,0,16723
2017,9,Wisconsin,12224,0,10918,13133,612,43,0,0,5,4,149,333,4,40,18,3,0,0,0,20,0,0,0,0,37506
2017,9,Wyoming,280,11,1337,2015,61,97,1,1,2,0,139,312,0,0,0,0,0,0,10,14,1,0,0,0,4281
2017,8,Alabama,19733,4,6289,6045,216,311,0,10,13,2,1314,1071,3,0,0,0,0,0,14,11,2,0,0,0,35038
2017,8,Alaska,247,13,2656,3097,207,184,0,4,5,0,218,204,1,31,23,0,0,0,19,36,0,0,1,0,6946
2017,8,Arizona,6733,326,10864,7686,908,627,0,9,4,0,1397,682,6,95,7,0,0,0,17,14,1,0,0,0,29376
2017,8,Arkansas,3313,957,4827,5297,220,323,34,9,5,1,1048,1453,2,0,0,0,0,0,3,20,1,2,1,1,17517
2017,8,California,59528,0,41110,26220,3058,0,0,0,0,0,538,429,18,0,0,0,0,0,0,0,0,0,0,0,130901
2017,8,Colorado,5219,0,16610,12925,1013,1035,0,0,0,0,0,0,0,283,64,1,0,0,0,0,0,0,0,0,37150
2017,8,Connecticut,5896,420,5289,1988,290,0,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14019
2017,8,Delaware,288,0,1571,1349,94,58,0,0,0,0,29,20,6,0,0,0,0,0,60,30,4,0,0,0,3509
2017,8,Florida,18362,0,46682,21717,2847,2048,0,10,5,0,3327,1235,4,354,53,0,0,0,15,5,0,0,0,0,96664
2017,8,Georgia,15046,0,11719,7797,377,525,0,22,8,0,1963,1335,4,0,0,0,0,0,18,14,1,1,0,0,38830
